2023-05-28T13:53:31.80Z,49.4649233,20.0683837,4636.125,16.01,44.08,-1.33,5.658,6.751,1.36,70.03867,1.83750,3,12
2023-05-28T13:53:32.00Z,49.4649534,20.0685044,4636.358,16.48,43.85,-1.02,5.676,6.756,1.36,69.40690,1.98582,3,12
2023-05-28T13:53:32.20Z,49.4649852,20.0686251,4636.544,17.60,43.96,-1.17,5.702,6.764,1.59,68.18614,1.91804,3,12
2023-05-28T13:53:32.40Z,49.4650173,20.0687467,4636.811,17.71,44.41,-1.30,5.730,6.770,1.58,68.26461,1.96117,3,12
2023-05-28T13:53:32.60Z,49.4650485,20.0688667,4637.119,17.74,43.87,-1.74,5.741,6.775,1.43,67.98348,1.77390,3,12
2023-05-28T13:53:32.80Z,49.4650803,20.0689857,4637.149,18.36,43.89,-1.58,5.734,6.774,1.21,67.30091,1.68026,3,12
2023-05-28T13:53:33.00Z,49.4651116,20.0691042,4637.227,18.32,43.65,-1.67,5.722,6.773,1.13,67.22933,1.57563,3,12
2023-05-28T13:53:33.20Z,49.4651434,20.0692232,4637.416,18.30,43.65,-1.83,5.719,6.778,1.10,67.25618,1.59448,3,12
2023-05-28T13:53:33.40Z,49.4651762,20.0693419,4637.613,18.56,43.56,-1.62,5.715,6.782,1.09,66.91662,1.54293,3,12
2023-05-28T13:53:33.60Z,49.4652092,20.0694608,4637.735,18.83,43.58,-1.52,5.703,6.772,1.06,66.63616,1.35348,3,12
2023-05-28T13:53:33.80Z,49.4652433,20.0695796,4637.991,19.30,43.54,-1.77,5.689,6.759,1.12,66.09729,1.23627,3,12
2023-05-28T13:53:34.00Z,49.4652765,20.0696983,4638.046,19.20,43.55,-1.86,5.672,6.741,1.11,66.20822,1.16708,3,12
2023-05-28T13:53:34.20Z,49.4653096,20.0698166,4638.218,18.97,43.25,-2.14,5.654,6.723,1.11,66.31982,1.16081,3,12
2023-05-28T13:53:34.40Z,49.4653429,20.0699351,4638.339,18.98,43.24,-2.25,5.633,6.683,1.10,66.29750,1.17117,3,12
2023-05-28T13:53:34.60Z,49.4653756,20.0700526,4638.567,18.66,42.91,-2.62,5.613,6.646,1.10,66.49487,1.17937,3,12
2023-05-28T13:53:34.80Z,49.4654077,20.0701690,4638.915,18.27,42.59,-2.98,5.595,6.611,1.10,66.77760,1.18042,3,12
2023-05-28T13:53:35.00Z,49.4654405,20.0702861,4639.202,18.69,42.95,-2.90,5.578,6.578,1.11,66.48191,1.16348,3,12
2023-05-28T13:53:35.20Z,49.4654748,20.0704039,4639.717,18.94,42.92,-3.16,5.577,6.559,1.25,66.18759,1.06600,3,12
2023-05-28T13:53:35.40Z,49.4655085,20.0705204,4640.248,18.61,42.51,-3.22,5.584,6.541,1.37,66.35639,1.18145,3,12
2023-05-28T13:53:35.60Z,49.4655438,20.0706378,4640.949,19.09,42.80,-3.08,5.591,6.526,1.33,65.95867,1.30641,3,12
